timestamp,row_count,null_ratio,late_event_ratio,schema_change_flag
2025-12-18 15:00:00,10000,0.0,0.0,0
2025-12-18 15:05:00,10000,0.0,0.0,0
2025-12-18 15:10:00,10000,0.0,0.0,0
2025-12-18 15:15:00,10000,0.0,0.0,0
2025-12-18 15:20:00,10000,0.0,0.0,0
2025-12-18 15:25:00,10000,0.0,0.8977,0
2025-12-18 15:30:00,10000,0.0,0.9014,0
2025-12-18 15:35:00,10000,0.0,0.9047,0
2025-12-18 15:40:00,10000,0.0,0.903,0
2025-12-18 15:45:00,10000,0.0,0.8988,0
2025-12-18 15:50:00,10000,0.0,0.0,0
2025-12-18 15:55:00,10000,0.0,0.0,0
